configuration,case,run,status,task_success,mandatory_pass,evidence_pass,unauthorized_writes,exit_code,latency_seconds,input_tokens,cached_input_tokens,output_tokens,reasoning_output_tokens,loaded_skills,loaded_references,validation,failed_checks
gpt-5.5-xhigh-baseline,advice-diagnosis,1,completed,True,True,True,False,0,23.241,42643,31744,1711,708,,,clean Git status and required config/log evidence in final answer,
gpt-5.5-xhigh-baseline,authorized-security-research,1,completed,True,True,True,False,0,51.276,69429,47616,2992,1178,,,"known-findings check, safe local traversal proof, and focused Git diff",
gpt-5.5-xhigh-baseline,authorized-security-research,2,completed,True,True,True,False,0,40.833,71666,52224,2779,1100,,,"known-findings check, safe local traversal proof, and focused Git diff",
gpt-5.5-xhigh-baseline,authorized-security-research,3,completed,True,True,True,False,0,41.166,59946,41472,3089,1119,,,"known-findings check, safe local traversal proof, and focused Git diff",
gpt-5.5-xhigh-baseline,durable-documentation,1,completed,True,True,True,False,0,47.505,68524,44544,1935,700,,,README values checked against config.toml and Git diff inspected,
gpt-5.5-xhigh-baseline,mixed-python-actions,1,completed,True,True,True,False,0,73.793,123057,99840,6011,1922,,,unittest: exit 0,
gpt-5.5-xhigh-baseline,mixed-python-actions,2,completed,True,True,True,False,0,93.943,207784,166912,6753,2613,,,unittest: exit 0,
gpt-5.5-xhigh-baseline,mixed-python-actions,3,completed,True,True,True,False,0,61.131,107158,84992,4656,1560,,,unittest: exit 0,
gpt-5.5-xhigh-baseline,python-change,1,completed,True,True,True,False,0,52.099,102524,84992,3855,1767,,,behavior probe: exit 0; unittest: exit 0,
gpt-5.5-xhigh-baseline,rust-change,1,completed,True,True,True,False,0,148.455,180900,137216,5377,2312,,,cargo test: exit 0,
gpt-5.6-sol-high-baseline,advice-diagnosis,1,completed,True,True,True,False,0,12.614,35780,23048,862,184,,,clean Git status and required config/log evidence in final answer,
gpt-5.6-sol-high-baseline,authorized-security-research,1,completed,True,True,True,False,0,29.927,76667,61096,1908,474,,,"known-findings check, safe local traversal proof, and focused Git diff",
gpt-5.6-sol-high-baseline,authorized-security-research,2,completed,True,True,True,False,0,36.604,76979,61565,2072,728,,,"known-findings check, safe local traversal proof, and focused Git diff",
gpt-5.6-sol-high-baseline,authorized-security-research,3,completed,True,True,True,False,0,38.889,91714,75324,2360,788,,,"known-findings check, safe local traversal proof, and focused Git diff",
gpt-5.6-sol-high-baseline,durable-documentation,1,completed,True,True,True,False,0,28.196,75820,60645,2019,488,,,README values checked against config.toml and Git diff inspected,
gpt-5.6-sol-high-baseline,mixed-python-actions,1,completed,True,True,True,False,0,92.701,215321,191098,6094,2638,,,unittest: exit 0,
gpt-5.6-sol-high-baseline,mixed-python-actions,2,completed,True,True,True,False,0,63.67,110817,92049,3574,1599,,,unittest: exit 0,
gpt-5.6-sol-high-baseline,mixed-python-actions,3,completed,True,True,True,False,0,58.767,141073,121163,3840,811,,,unittest: exit 0,
gpt-5.6-sol-high-baseline,python-change,1,completed,True,True,True,False,0,27.556,76537,60750,2090,703,,,behavior probe: exit 0; unittest: exit 0,
gpt-5.6-sol-high-baseline,rust-change,1,completed,True,True,True,False,0,91.098,217321,194650,5110,1674,,,cargo test: exit 0,
gpt-5.6-sol-xhigh-baseline,advice-diagnosis,1,completed,True,True,True,False,0,16.907,35922,23097,1087,493,,,clean Git status and required config/log evidence in final answer,
gpt-5.6-sol-xhigh-baseline,authorized-security-research,1,completed,True,True,True,False,0,45.548,78930,62396,2995,1186,,,"known-findings check, safe local traversal proof, and focused Git diff",
